data,method,clustering,sigma,noise,criteria,rank,Accuracy,Consistency
Religion,MDS,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.2405092025306971,0.33114917421234685
Religion,MDS,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.16345102716135862,0.1249578768440816
Religion,MDS,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.1641810804443955,0.12474795423451775
Religion,MDS,HC,0.5,Laplace,MI,2.0,0.07586958397689512,0.1888309307247842
Religion,MDS,HC,0.5,Laplace,MI,5.0,0.0009041715722116338,0.00014984887569823992
Religion,MDS,HC,0.5,Laplace,MI,10.0,0.002116013084333025,-0.00022543211158403408
Religion,MDS,HC,0.5,Laplace,V Measure,2.0,0.0977511623152053,0.2059490077117728
Religion,MDS,HC,0.5,Laplace,V Measure,5.0,0.024218132421397115,0.02069232551192467
Religion,MDS,HC,0.5,Laplace,V Measure,10.0,0.025401588223943655,0.02032474891207163
Religion,MDS,HC,0.5,Normal,ARI,2.0,0.0801409865890142,0.19246400407804715
Religion,MDS,HC,0.5,Normal,ARI,5.0,0.0041540111226326965,0.00015585917002849869
Religion,MDS,HC,0.5,Normal,ARI,10.0,0.002537661063675565,0.00015366337863519962
Religion,MDS,HC,0.5,Normal,Fowlkes Mallows,2.0,0.2416969143125868,0.3070569284209849
Religion,MDS,HC,0.5,Normal,Fowlkes Mallows,5.0,0.16794897985796198,0.12693484397343033
Religion,MDS,HC,0.5,Normal,Fowlkes Mallows,10.0,0.16635395915694956,0.12664247199485998
Religion,MDS,HC,0.5,Normal,MI,2.0,0.08705202709568889,0.20533972102202824
Religion,MDS,HC,0.5,Normal,MI,5.0,0.0040438532838869895,1.9458873684376208e-05
Religion,MDS,HC,0.5,Normal,MI,10.0,0.003082484103069141,0.00011129928182114824
Religion,MDS,HC,0.5,Normal,V Measure,2.0,0.10878265051619218,0.22231387625861254
Religion,MDS,HC,0.5,Normal,V Measure,5.0,0.027343986216911385,0.02066946148556749
Religion,MDS,HC,0.5,Normal,V Measure,10.0,0.0263969885304859,0.02074930487328509
Religion,MDS,K-Means,0.5,Laplace,ARI,2.0,0.08116070402478162,0.12916877414292555
Religion,MDS,K-Means,0.5,Laplace,ARI,5.0,0.00042121935297519786,0.00022395581406980166
Religion,MDS,K-Means,0.5,Laplace,ARI,10.0,0.0012620412637235634,0.00043569831819381503
Religion,MDS,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.2405092025306971,0.25953376123717004
Religion,MDS,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.16345102716135862,0.13695049626918018
Religion,MDS,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.1641810804443955,0.13949948288883554
Religion,MDS,K-Means,0.5,Laplace,MI,2.0,0.07586958397689512,0.11301630269879134
Religion,MDS,K-Means,0.5,Laplace,MI,5.0,0.0009041715722116338,0.00012354421861953579
Religion,MDS,K-Means,0.5,Laplace,MI,10.0,0.002116013084333025,0.00035367825838573984
Religion,MDS,K-Means,0.5,Laplace,V Measure,2.0,0.0977511623152053,0.13247857184250528
Religion,MDS,K-Means,0.5,Laplace,V Measure,5.0,0.024218132421397115,0.021327999585720042
Religion,MDS,K-Means,0.5,Laplace,V Measure,10.0,0.025401588223943655,0.021753538527588583
Religion,MDS,K-Means,0.5,Normal,ARI,2.0,0.0801409865890142,0.17994433329969
Religion,MDS,K-Means,0.5,Normal,ARI,5.0,0.0041540111226326965,0.030101404321646912
Religion,MDS,K-Means,0.5,Normal,ARI,10.0,0.002537661063675565,0.009612457550860808
Religion,MDS,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.2416969143125868,0.30693684510503244
Religion,MDS,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.16794897985796198,0.1803757706400726
Religion,MDS,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.16635395915694956,0.1694208230313366
Religion,MDS,K-Means,0.5,Normal,MI,2.0,0.08705202709568889,0.14339539178705704
Religion,MDS,K-Means,0.5,Normal,MI,5.0,0.0040438532838869895,0.01539529835720674
Religion,MDS,K-Means,0.5,Normal,MI,10.0,0.003082484103069141,0.004505782051289439
Religion,MDS,K-Means,0.5,Normal,V Measure,2.0,0.10878265051619218,0.16244437649986054
Religion,MDS,K-Means,0.5,Normal,V Measure,5.0,0.027343986216911385,0.0372188249809645
Religion,MDS,K-Means,0.5,Normal,V Measure,10.0,0.0263969885304859,0.027130726272051254
Religion,NMDS,HC,0.5,Laplace,ARI,2.0,0.004782143380021339,0.00046783311971400354
Religion,NMDS,HC,0.5,Laplace,ARI,5.0,0.14135033325411525,0.4220909055459705
Religion,NMDS,HC,0.5,Laplace,ARI,10.0,0.10242806003055097,0.1790860697722767
Religion,NMDS,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.16849860703918004,0.12723283680503056
Religion,NMDS,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.33029299225560577,0.5530231906415453
Religion,NMDS,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.29364494185531004,0.3521500376034861
Religion,NMDS,HC,0.5,Laplace,MI,2.0,0.01048166842263207,0.0007030309157915759
Religion,NMDS,HC,0.5,Laplace,MI,5.0,0.09668047919346318,0.15871744841337165
Religion,NMDS,HC,0.5,Laplace,MI,10.0,0.06191532006905377,0.0590060166842258
Religion,NMDS,HC,0.5,Laplace,V Measure,2.0,0.03363341617526133,0.02135079548096637
Religion,NMDS,HC,0.5,Laplace,V Measure,5.0,0.11980819575308473,0.17969631061774982
Religion,NMDS,HC,0.5,Laplace,V Measure,10.0,0.08571963458658285,0.08219571379918234
Religion,NMDS,HC,0.5,Normal,ARI,2.0,0.008515316071966155,0.0006133778918290358
Religion,NMDS,HC,0.5,Normal,ARI,5.0,0.1400192985776694,0.4156054573184673
Religion,NMDS,HC,0.5,Normal,ARI,10.0,0.10934940570512287,0.20623704908264476
Religion,NMDS,HC,0.5,Normal,Fowlkes Mallows,2.0,0.17276608647057848,0.12927577576977556
Religion,NMDS,HC,0.5,Normal,Fowlkes Mallows,5.0,0.32878560627577713,0.5480809001008647
Religion,NMDS,HC,0.5,Normal,Fowlkes Mallows,10.0,0.30205315060252225,0.3794703257582846
Religion,NMDS,HC,0.5,Normal,MI,2.0,0.01555603277497723,0.0007415423696948665
Religion,NMDS,HC,0.5,Normal,MI,5.0,0.09623880291901883,0.15553125167129572
Religion,NMDS,HC,0.5,Normal,MI,10.0,0.06601094487808877,0.0668961415393158
Religion,NMDS,HC,0.5,Normal,V Measure,2.0,0.0386414395834211,0.021518940412358512
Religion,NMDS,HC,0.5,Normal,V Measure,5.0,0.11935849740661722,0.17657470357734892
Religion,NMDS,HC,0.5,Normal,V Measure,10.0,0.08983438386056368,0.09014031778871427
Religion,NMDS,K-Means,0.5,Laplace,ARI,2.0,0.004782143380021339,0.00045700448790452283
Religion,NMDS,K-Means,0.5,Laplace,ARI,5.0,0.14135033325411525,0.2565936795813826
Religion,NMDS,K-Means,0.5,Laplace,ARI,10.0,0.10242806003055097,0.19928354566726936
Religion,NMDS,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.16849860703918004,0.1362287968721848
Religion,NMDS,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.33029299225560577,0.4340240622584083
Religion,NMDS,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.29364494185531004,0.4367834634815064
Religion,NMDS,K-Means,0.5,Laplace,MI,2.0,0.01048166842263207,0.0007598845107108019
Religion,NMDS,K-Means,0.5,Laplace,MI,5.0,0.09668047919346318,0.10212967932807747
Religion,NMDS,K-Means,0.5,Laplace,MI,10.0,0.06191532006905377,0.06089991407528684
Religion,NMDS,K-Means,0.5,Laplace,V Measure,2.0,0.03363341617526133,0.021962054628308303
Religion,NMDS,K-Means,0.5,Laplace,V Measure,5.0,0.11980819575308473,0.1255963614987792
Religion,NMDS,K-Means,0.5,Laplace,V Measure,10.0,0.08571963458658285,0.08779706250151932
Religion,NMDS,K-Means,0.5,Normal,ARI,2.0,0.008515316071966155,0.0005788197146693915
Religion,NMDS,K-Means,0.5,Normal,ARI,5.0,0.1400192985776694,0.2658228411815841
Religion,NMDS,K-Means,0.5,Normal,ARI,10.0,0.10934940570512287,0.2137818574098393
Religion,NMDS,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.17276608647057848,0.13844487741762768
Religion,NMDS,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.32878560627577713,0.4459173116034254
Religion,NMDS,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.30205315060252225,0.4473306931109315
Religion,NMDS,K-Means,0.5,Normal,MI,2.0,0.01555603277497723,0.0005665120451752067
Religion,NMDS,K-Means,0.5,Normal,MI,5.0,0.09623880291901883,0.09856172060542392
Religion,NMDS,K-Means,0.5,Normal,MI,10.0,0.06601094487808877,0.06767954177735261
Religion,NMDS,K-Means,0.5,Normal,V Measure,2.0,0.0386414395834211,0.02192952065175614
Religion,NMDS,K-Means,0.5,Normal,V Measure,5.0,0.11935849740661722,0.12234731735856964
Religion,NMDS,K-Means,0.5,Normal,V Measure,10.0,0.08983438386056368,0.094451934622257
Religion,PCA,HC,0.5,Laplace,ARI,2.0,0.21775390415024368,0.5552191269045217
Religion,PCA,HC,0.5,Laplace,ARI,5.0,0.2133311368528544,0.9750483167620032
Religion,PCA,HC,0.5,Laplace,ARI,10.0,0.20318999660459114,0.9710836346380308
Religion,PCA,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.4943310547024092,0.7697021403237659
Religion,PCA,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.5468755528884582,0.9918138691283714
Religion,PCA,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.5467341813856337,0.991237053246978
Religion,PCA,HC,0.5,Laplace,MI,2.0,0.37830854778611744,0.6677410440061975
Religion,PCA,HC,0.5,Laplace,MI,5.0,0.404100103268818,0.8719731783731002
Religion,PCA,HC,0.5,Laplace,MI,10.0,0.38535474582484974,0.9246121235970258
Religion,PCA,HC,0.5,Laplace,V Measure,2.0,0.3946686446033156,0.6762971940771813
Religion,PCA,HC,0.5,Laplace,V Measure,5.0,0.4191579028654877,0.8751051739987599
Religion,PCA,HC,0.5,Laplace,V Measure,10.0,0.39949542787577386,0.9262475037855736
Religion,PCA,HC,0.5,Normal,ARI,2.0,0.23586085924487385,0.9166369684654244
Religion,PCA,HC,0.5,Normal,ARI,5.0,0.2146035847938775,0.9809272367200258
Religion,PCA,HC,0.5,Normal,ARI,10.0,0.20342333098573173,0.9728639886607379
Religion,PCA,HC,0.5,Normal,Fowlkes Mallows,2.0,0.5520000078392298,0.9692789027300532
Religion,PCA,HC,0.5,Normal,Fowlkes Mallows,5.0,0.5474022455955861,0.9937160814986632
Religion,PCA,HC,0.5,Normal,Fowlkes Mallows,10.0,0.5468949792470069,0.9917795556227872
Religion,PCA,HC,0.5,Normal,MI,2.0,0.4187366738676887,0.8577992474341593
Religion,PCA,HC,0.5,Normal,MI,5.0,0.4063098144475197,0.8960911828439173
Religion,PCA,HC,0.5,Normal,MI,10.0,0.3866354599877616,0.9279563244921908
Religion,PCA,HC,0.5,Normal,V Measure,2.0,0.435282680913374,0.8620858363732812
Religion,PCA,HC,0.5,Normal,V Measure,5.0,0.4213152409115524,0.8986385504464046
Religion,PCA,HC,0.5,Normal,V Measure,10.0,0.40075177279260027,0.9295185877255304
Religion,PCA,K-Means,0.5,Laplace,ARI,2.0,0.21775390415024368,0.8790893799387618
Religion,PCA,K-Means,0.5,Laplace,ARI,5.0,0.2133311368528544,0.9677895082956256
Religion,PCA,K-Means,0.5,Laplace,ARI,10.0,0.20318999660459114,0.9923838070914012
Religion,PCA,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.4943310547024092,0.9469209742770586
Religion,PCA,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.5468755528884582,0.9894026397837978
Religion,PCA,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.5467341813856337,0.9975891536830656
Religion,PCA,K-Means,0.5,Laplace,MI,2.0,0.37830854778611744,0.8264797997748032
Religion,PCA,K-Means,0.5,Laplace,MI,5.0,0.404100103268818,0.8580616534953472
Religion,PCA,K-Means,0.5,Laplace,MI,10.0,0.38535474582484974,0.9701292524345564
Religion,PCA,K-Means,0.5,Laplace,V Measure,2.0,0.3946686446033156,0.8315173729664636
Religion,PCA,K-Means,0.5,Laplace,V Measure,5.0,0.4191579028654877,0.8615002696711733
Religion,PCA,K-Means,0.5,Laplace,V Measure,10.0,0.39949542787577386,0.9707732300615802
Religion,PCA,K-Means,0.5,Normal,ARI,2.0,0.23586085924487385,0.9517944646565732
Religion,PCA,K-Means,0.5,Normal,ARI,5.0,0.2146035847938775,0.9721671185017091
Religion,PCA,K-Means,0.5,Normal,ARI,10.0,0.20342333098573173,0.9923442034417872
Religion,PCA,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.5520000078392298,0.9826900304837808
Religion,PCA,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.5474022455955861,0.9908309140399664
Religion,PCA,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.5468949792470069,0.997575503485743
Religion,PCA,K-Means,0.5,Normal,MI,2.0,0.4187366738676887,0.8764671416834834
Religion,PCA,K-Means,0.5,Normal,MI,5.0,0.4063098144475197,0.8710960898649011
Religion,PCA,K-Means,0.5,Normal,MI,10.0,0.3866354599877616,0.9712665187688756
Religion,PCA,K-Means,0.5,Normal,V Measure,2.0,0.435282680913374,0.8801529904703658
Religion,PCA,K-Means,0.5,Normal,V Measure,5.0,0.4213152409115524,0.8742344378620005
Religion,PCA,K-Means,0.5,Normal,V Measure,10.0,0.40075177279260027,0.9718851471694272
Religion,Random Projection,HC,0.5,Laplace,ARI,2.0,0.02322559626014481,0.008222489720734406
Religion,Random Projection,HC,0.5,Laplace,ARI,5.0,0.009274223578229686,0.0010432093780104016
Religion,Random Projection,HC,0.5,Laplace,ARI,10.0,0.00997098169330646,0.0011401810432559972
Religion,Random Projection,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.20237196454450987,0.16437882983790633
Religion,Random Projection,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.1760810346892112,0.1336098349301291
Religion,Random Projection,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.17691508528542774,0.13408284401103832
Religion,Random Projection,HC,0.5,Laplace,MI,2.0,0.020829142595902427,0.004146700645029543
Religion,Random Projection,HC,0.5,Laplace,MI,5.0,0.009576080103933992,0.0006326847860028223
Religion,Random Projection,HC,0.5,Laplace,MI,10.0,0.012309093495019664,0.0007530982447922262
Religion,Random Projection,HC,0.5,Laplace,V Measure,2.0,0.044468268035607016,0.026431185362866483
Religion,Random Projection,HC,0.5,Laplace,V Measure,5.0,0.032928147171248694,0.0216686876372908
Religion,Random Projection,HC,0.5,Laplace,V Measure,10.0,0.03551647460218803,0.0216957444441912
Religion,Random Projection,HC,0.5,Normal,ARI,2.0,0.03345367421010186,0.01574590613629154
Religion,Random Projection,HC,0.5,Normal,ARI,5.0,0.01869400965536851,0.0041581333738199755
Religion,Random Projection,HC,0.5,Normal,ARI,10.0,0.020078217607137683,0.0048698722803412154
Religion,Random Projection,HC,0.5,Normal,Fowlkes Mallows,2.0,0.21578202750460507,0.17974511896845155
Religion,Random Projection,HC,0.5,Normal,Fowlkes Mallows,5.0,0.19018741123675936,0.14638608126164993
Religion,Random Projection,HC,0.5,Normal,Fowlkes Mallows,10.0,0.1903610874664001,0.1453332706484044
Religion,Random Projection,HC,0.5,Normal,MI,2.0,0.030541277630799207,0.008947980042694422
Religion,Random Projection,HC,0.5,Normal,MI,5.0,0.02018089710217925,0.002587042974190903
Religion,Random Projection,HC,0.5,Normal,MI,10.0,0.019522823815019942,0.0028743108828856736
Religion,Random Projection,HC,0.5,Normal,V Measure,2.0,0.05420508669598223,0.03178230985714827
Religion,Random Projection,HC,0.5,Normal,V Measure,5.0,0.04351337974791938,0.024167434410802758
Religion,Random Projection,HC,0.5,Normal,V Measure,10.0,0.04282413442491678,0.024288938874105458
Religion,Random Projection,K-Means,0.5,Laplace,ARI,2.0,0.02322559626014481,0.005887897801402689
Religion,Random Projection,K-Means,0.5,Laplace,ARI,5.0,0.009274223578229686,0.0031295864983688915
Religion,Random Projection,K-Means,0.5,Laplace,ARI,10.0,0.00997098169330646,0.004783293529724645
Religion,Random Projection,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.20237196454450987,0.17068816926789726
Religion,Random Projection,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.1760810346892112,0.1576946859370033
Religion,Random Projection,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.17691508528542774,0.16766013696756196
Religion,Random Projection,K-Means,0.5,Laplace,MI,2.0,0.020829142595902427,0.0034109144264795853
Religion,Random Projection,K-Means,0.5,Laplace,MI,5.0,0.009576080103933992,0.0013304622585159867
Religion,Random Projection,K-Means,0.5,Laplace,MI,10.0,0.012309093495019664,0.00264046620380288
Religion,Random Projection,K-Means,0.5,Laplace,V Measure,2.0,0.044468268035607016,0.02645339708530468
Religion,Random Projection,K-Means,0.5,Laplace,V Measure,5.0,0.032928147171248694,0.023737379704493317
Religion,Random Projection,K-Means,0.5,Laplace,V Measure,10.0,0.03551647460218803,0.025338836635005253
Religion,Random Projection,K-Means,0.5,Normal,ARI,2.0,0.03345367421010186,0.014170781734667704
Religion,Random Projection,K-Means,0.5,Normal,ARI,5.0,0.01869400965536851,0.011975973623119793
Religion,Random Projection,K-Means,0.5,Normal,ARI,10.0,0.020078217607137683,0.016612930016454988
Religion,Random Projection,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.21578202750460507,0.1881034263924217
Religion,Random Projection,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.19018741123675936,0.1832122480931748
Religion,Random Projection,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.1903610874664001,0.2009978450298344
Religion,Random Projection,K-Means,0.5,Normal,MI,2.0,0.030541277630799207,0.008184210626073371
Religion,Random Projection,K-Means,0.5,Normal,MI,5.0,0.02018089710217925,0.005043435942693481
Religion,Random Projection,K-Means,0.5,Normal,MI,10.0,0.019522823815019942,0.00821809646742255
Religion,Random Projection,K-Means,0.5,Normal,V Measure,2.0,0.05420508669598223,0.03148152889540104
Religion,Random Projection,K-Means,0.5,Normal,V Measure,5.0,0.04351337974791938,0.02812997614217257
Religion,Random Projection,K-Means,0.5,Normal,V Measure,10.0,0.04282413442491678,0.031795893523356586
Religion,Spectral (NN),HC,0.5,Laplace,ARI,2.0,0.03154682440809227,0.036264315483059535
Religion,Spectral (NN),HC,0.5,Laplace,ARI,5.0,0.03698862092128502,0.04578914762136722
Religion,Spectral (NN),HC,0.5,Laplace,ARI,10.0,0.04573913443869627,0.05687611757770316
Religion,Spectral (NN),HC,0.5,Laplace,Fowlkes Mallows,2.0,0.2251985785763098,0.21706665312096485
Religion,Spectral (NN),HC,0.5,Laplace,Fowlkes Mallows,5.0,0.2178921467514722,0.20348479214420734
Religion,Spectral (NN),HC,0.5,Laplace,Fowlkes Mallows,10.0,0.23017551175625064,0.2219735562576533
Religion,Spectral (NN),HC,0.5,Laplace,MI,2.0,0.02166748975942329,0.017618129287933052
Religion,Spectral (NN),HC,0.5,Laplace,MI,5.0,0.02550682312600261,0.019180177672015825
Religion,Spectral (NN),HC,0.5,Laplace,MI,10.0,0.030707348930935158,0.019097894744628408
Religion,Spectral (NN),HC,0.5,Laplace,V Measure,2.0,0.044991336022133774,0.03995450847597405
Religion,Spectral (NN),HC,0.5,Laplace,V Measure,5.0,0.04899193062239506,0.04110128486662908
Religion,Spectral (NN),HC,0.5,Laplace,V Measure,10.0,0.05441817506309581,0.04147348170291223
Religion,Spectral (NN),HC,0.5,Normal,ARI,2.0,0.03488315069825867,0.04048420115072946
Religion,Spectral (NN),HC,0.5,Normal,ARI,5.0,0.041752513491341424,0.054371470216141526
Religion,Spectral (NN),HC,0.5,Normal,ARI,10.0,0.05439232552058933,0.0712473888033209
Religion,Spectral (NN),HC,0.5,Normal,Fowlkes Mallows,2.0,0.22925957966242605,0.223144959789748
Religion,Spectral (NN),HC,0.5,Normal,Fowlkes Mallows,5.0,0.22049168451486104,0.2083190042481584
Religion,Spectral (NN),HC,0.5,Normal,Fowlkes Mallows,10.0,0.23547653122926124,0.2307379373280357
Religion,Spectral (NN),HC,0.5,Normal,MI,2.0,0.028064230533417847,0.026057782612721757
Religion,Spectral (NN),HC,0.5,Normal,MI,5.0,0.032385400537225835,0.03153552609669241
Religion,Spectral (NN),HC,0.5,Normal,MI,10.0,0.042275374817205176,0.03504872320636217
Religion,Spectral (NN),HC,0.5,Normal,V Measure,2.0,0.05093673692451002,0.04779600967126295
Religion,Spectral (NN),HC,0.5,Normal,V Measure,5.0,0.055463035193292966,0.05289198518521269
Religion,Spectral (NN),HC,0.5,Normal,V Measure,10.0,0.06565791149626811,0.05704185897765556
Religion,Spectral (NN),K-Means,0.5,Laplace,ARI,2.0,0.03154682440809227,0.02891037842982088
Religion,Spectral (NN),K-Means,0.5,Laplace,ARI,5.0,0.03698862092128502,0.037448868834323266
Religion,Spectral (NN),K-Means,0.5,Laplace,ARI,10.0,0.04573913443869627,0.05057067663655452
Religion,Spectral (NN),K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.2251985785763098,0.2140003681761299
Religion,Spectral (NN),K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.2178921467514722,0.20701966820183068
Religion,Spectral (NN),K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.23017551175625064,0.2407579238567763
Religion,Spectral (NN),K-Means,0.5,Laplace,MI,2.0,0.02166748975942329,0.01938498038508925
Religion,Spectral (NN),K-Means,0.5,Laplace,MI,5.0,0.02550682312600261,0.0179164923962394
Religion,Spectral (NN),K-Means,0.5,Laplace,MI,10.0,0.030707348930935158,0.014564977240623628
Religion,Spectral (NN),K-Means,0.5,Laplace,V Measure,2.0,0.044991336022133774,0.04188427421131514
Religion,Spectral (NN),K-Means,0.5,Laplace,V Measure,5.0,0.04899193062239506,0.040165414623389364
Religion,Spectral (NN),K-Means,0.5,Laplace,V Measure,10.0,0.05441817506309581,0.03798215918743189
Religion,Spectral (NN),K-Means,0.5,Normal,ARI,2.0,0.03488315069825867,0.035287045120443235
Religion,Spectral (NN),K-Means,0.5,Normal,ARI,5.0,0.041752513491341424,0.04943335317136454
Religion,Spectral (NN),K-Means,0.5,Normal,ARI,10.0,0.05439232552058933,0.07343312546751114
Religion,Spectral (NN),K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.22925957966242605,0.22525263513337185
Religion,Spectral (NN),K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.22049168451486104,0.22093523425397493
Religion,Spectral (NN),K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.23547653122926124,0.2553326103799731
Religion,Spectral (NN),K-Means,0.5,Normal,MI,2.0,0.028064230533417847,0.02801277162111379
Religion,Spectral (NN),K-Means,0.5,Normal,MI,5.0,0.032385400537225835,0.028734598114319575
Religion,Spectral (NN),K-Means,0.5,Normal,MI,10.0,0.042275374817205176,0.031104628109652938
Religion,Spectral (NN),K-Means,0.5,Normal,V Measure,2.0,0.05093673692451002,0.049830389307927575
Religion,Spectral (NN),K-Means,0.5,Normal,V Measure,5.0,0.055463035193292966,0.050571700125558214
Religion,Spectral (NN),K-Means,0.5,Normal,V Measure,10.0,0.06565791149626811,0.053994872877349366
Religion,Spectral (RBF),HC,0.5,Laplace,ARI,2.0,0.2196553422967208,0.4889612435120506
Religion,Spectral (RBF),HC,0.5,Laplace,ARI,5.0,0.18744971975441185,0.7137889168215258
Religion,Spectral (RBF),HC,0.5,Laplace,ARI,10.0,0.1862443285710753,0.8337141080855268
Religion,Spectral (RBF),HC,0.5,Laplace,Fowlkes Mallows,2.0,0.4575439384736222,0.6905961679064372
Religion,Spectral (RBF),HC,0.5,Laplace,Fowlkes Mallows,5.0,0.4625004646916138,0.8523394008926781
Religion,Spectral (RBF),HC,0.5,Laplace,Fowlkes Mallows,10.0,0.5281430120447373,0.9461790887397872
Religion,Spectral (RBF),HC,0.5,Laplace,MI,2.0,0.3993327921936587,0.5183687230984664
Religion,Spectral (RBF),HC,0.5,Laplace,MI,5.0,0.408495324607336,0.6573588317100123
Religion,Spectral (RBF),HC,0.5,Laplace,MI,10.0,0.3679563212043725,0.6744427912094526
Religion,Spectral (RBF),HC,0.5,Laplace,V Measure,2.0,0.4156386392126066,0.5318269720740813
Religion,Spectral (RBF),HC,0.5,Laplace,V Measure,5.0,0.4255384581904827,0.6680880187426756
Religion,Spectral (RBF),HC,0.5,Laplace,V Measure,10.0,0.38677952778026,0.6851665667414915
Religion,Spectral (RBF),HC,0.5,Normal,ARI,2.0,0.2334421471117885,0.7284267727859185
Religion,Spectral (RBF),HC,0.5,Normal,ARI,5.0,0.1903770581584648,0.799562967745315
Religion,Spectral (RBF),HC,0.5,Normal,ARI,10.0,0.13458399482377714,0.7626372874980928
Religion,Spectral (RBF),HC,0.5,Normal,Fowlkes Mallows,2.0,0.5105064012685905,0.866948885306639
Religion,Spectral (RBF),HC,0.5,Normal,Fowlkes Mallows,5.0,0.4943042248874297,0.9127471023199658
Religion,Spectral (RBF),HC,0.5,Normal,Fowlkes Mallows,10.0,0.5115757617505705,0.9451792022859704
Religion,Spectral (RBF),HC,0.5,Normal,MI,2.0,0.4209113658754532,0.6477023227130476
Religion,Spectral (RBF),HC,0.5,Normal,MI,5.0,0.40901858495553256,0.7441652721317105
Religion,Spectral (RBF),HC,0.5,Normal,MI,10.0,0.2929738370970717,0.6316420156385611
Religion,Spectral (RBF),HC,0.5,Normal,V Measure,2.0,0.4376000031992788,0.658607855082626
Religion,Spectral (RBF),HC,0.5,Normal,V Measure,5.0,0.4266228564441241,0.7525962392945541
Religion,Spectral (RBF),HC,0.5,Normal,V Measure,10.0,0.3141501151529332,0.6432666154269474
Religion,Spectral (RBF),K-Means,0.5,Laplace,ARI,2.0,0.2196553422967208,0.506931961272124
Religion,Spectral (RBF),K-Means,0.5,Laplace,ARI,5.0,0.18744971975441185,0.6933817400362632
Religion,Spectral (RBF),K-Means,0.5,Laplace,ARI,10.0,0.1862443285710753,0.8437974996048053
Religion,Spectral (RBF),K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.4575439384736222,0.7135280137868439
Religion,Spectral (RBF),K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.4625004646916138,0.8538624659868137
Religion,Spectral (RBF),K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.5281430120447373,0.951093527041458
Religion,Spectral (RBF),K-Means,0.5,Laplace,MI,2.0,0.3993327921936587,0.537055747550253
Religion,Spectral (RBF),K-Means,0.5,Laplace,MI,5.0,0.408495324607336,0.6709324322300679
Religion,Spectral (RBF),K-Means,0.5,Laplace,MI,10.0,0.3679563212043725,0.6689904201223421
Religion,Spectral (RBF),K-Means,0.5,Laplace,V Measure,2.0,0.4156386392126066,0.5503229117092979
Religion,Spectral (RBF),K-Means,0.5,Laplace,V Measure,5.0,0.4255384581904827,0.6814336019018047
Religion,Spectral (RBF),K-Means,0.5,Laplace,V Measure,10.0,0.38677952778026,0.6795504340591118
Religion,Spectral (RBF),K-Means,0.5,Normal,ARI,2.0,0.2334421471117885,0.7322363418738672
Religion,Spectral (RBF),K-Means,0.5,Normal,ARI,5.0,0.1903770581584648,0.7670239245555718
Religion,Spectral (RBF),K-Means,0.5,Normal,ARI,10.0,0.13458399482377714,0.7293061158302979
Religion,Spectral (RBF),K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.5105064012685905,0.8702714633212102
